Samples - Plot 0,Amplitude [V] - Plot 0
1596,0.0503923
1597,0.0163711
1598,-0.0189291
1599,-0.0578104
1600,-0.0928548
1601,-0.121632
1602,-0.148747
1603,-0.174199
1604,-0.196325
1605,-0.215638
1606,-0.231114
1607,-0.242753
1608,-0.249275
1609,-0.252217
1610,-0.249915
1611,-0.242881
1612,-0.231625
1613,-0.216533
1614,-0.197988
1615,-0.17535
1616,-0.149386
1617,-0.119842
1618,-0.0885062
1619,-0.0558919
1620,-0.0226382
1621,0.0112551
1622,0.0450205
1623,0.0784022
1624,0.117923
1625,0.144782
1626,0.169466
1627,0.19236
1628,0.211801
1629,0.228044
1630,0.240195
1631,0.249275
1632,0.25324
1633,0.252729
1634,0.247869
1635,0.238404
1636,0.224463
1637,0.206685
1638,0.185582
1639,0.160769
1640,0.132504
1641,0.102575
1642,0.0713677
1643,0.038114
1644,0.00498807
1645,-0.0282657
1646,-0.0681703
1647,-0.0991219
1648,-0.126364
1649,-0.1522
1650,-0.175989
1651,-0.197348
1652,-0.214871
1653,-0.228812
1654,-0.238148
1655,-0.243648
1656,-0.244927
1657,-0.241857
1658,-0.233288
1659,-0.221393
1660,-0.205406
1661,-0.185582
1662,-0.162304
1663,-0.135573
1664,-0.10718
1665,-0.0764837
1666,-0.0446368
1667,-0.0117667
1668,0.0211034
1669,0.0534619
1670,0.0859482
1671,0.122911
1672,0.147851
1673,0.171385
1674,0.191721
1675,0.209499
1676,0.224079
1677,0.235207
1678,0.241474
1679,0.244287
1680,0.243264
1681,0.236741
1682,0.226637
1683,0.212441
1684,0.194279
1685,0.173175
1686,0.148747
1687,0.121632
1688,0.0917037
